id;beat1;beat3;beatall;phrasbeg;phrasend;cdpcx_raw_all;cpc_raw_all;durclass_abs_raw;durclass_rel_raw;metrical_position;chord_types_raw;chords_raw;phrase_id_raw;mcm_48;pitch_raw;fuzzyint_raw;int_raw;ioiclass_abs_raw;ioiclass_rel_raw
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;6;9;-1;-1;4.3.37.2.2;-;G-;4;16;64;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-1;4.3.37.2.3;-;G-;4;20;67;-1.0;-1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;7;11;-1;-1;4.2.37.3.1;-;G-;4;24;66;-2.0;-3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;%;8;-1;-1;4.2.37.3.2;-;G-;4;30;63;-2.0;-4.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;>;4;-1;-1;4.2.37.4.1;-;G-;4;36;59;-2.0;-3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;-;1;-1;-1;4.2.37.4.2;-;G-;4;42;56;-1.0;-2.0;-1.0;-1.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;7;11;-1;-2;4.4.38.1.1;-;G-;4;0;54;1.0;1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-2;4.4.38.1.2;-;G-;4;3;55;2.0;3.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;3;-1;-2;4.4.38.1.3;-;G-;4;6;58;2.0;4.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-2;4.4.38.1.4;-;G-;4;9;62;2.0;3.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;7;10;-1;-1;4.2.38.2.1;-;G-;4;12;65;-2.0;-3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-1;4.2.38.2.2;-;G-;4;18;62;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;3;4;-1;-1;4.2.38.3.1;7;C7;4;24;64;3.0;5.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;6;9;-1;-1;4.2.38.3.2;7;C7;4;30;69;-2.0;-4.0;1.0;0.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;1;0;-1;-1;4.2.39.1.1;7;F7;4;0;65;-3.0;-5.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-1;4.2.39.1.2;7;F7;4;6;60;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;6;9;-1;-1;4.2.39.2.1;7;F7;4;12;62;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;1.0;7;10;-1;-1;4.2.39.2.2;7;F7;4;18;63;-1.0;-2.0;2.0;2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;1.0;0.0;B;3;-1;-1;4.2.40.2.2;7;Bb7;5;18;61;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;3;4;-1;-1;4.3.40.3.1;7;Bb7;5;24;62;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-1;4.3.40.3.2;7;Bb7;5;28;65;2.0;4.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;L;11;-1;-1;4.3.40.3.3;7;Bb7;5;32;69;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;2;2;0;0;4.1.40.4.1;7;Bb7;5;36;72;-1.0;-2.0;1.0;1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;4;5;-1;-1;4.2.41.2.2;7;F7;5;18;70;-1.0;-1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;3;4;-2;-2;4.6.41.3.1;7;F7;5;24;69;1.0;1.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;4;5;-2;-2;4.6.41.3.2;7;F7;5;26;70;-1.0;-1.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;4;-2;-2;4.6.41.3.3;7;F7;5;28;69;-2.0;-4.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-1;4.6.41.3.4;7;F7;5;30;65;2.0;4.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;3;4;-1;-1;4.2.41.4.1;7;F7;5;36;69;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;1.0;4;5;-1;-1;4.2.41.4.2;7;F7;5;42;70;-3.0;-7.0;2.0;1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;1.0;0.0;7;10;-1;-1;4.2.42.3.2;7;F7;6;30;63;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;L;11;-1;-1;4.2.42.4.1;7;F7;6;36;64;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;-;1;-1;-1;4.2.42.4.2;7;F7;6;42;66;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;3;3;-1;-1;4.2.43.1.1;-;E-;6;0;67;-1.0;-1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-1;4.2.43.1.2;-;E-;6;6;66;-1.0;-2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;1;0;-1;-1;4.2.43.2.1;-;E-;6;12;64;-1.0;-2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;7;10;-1;-1;4.2.43.2.2;-;E-;6;18;62;-1.0;-1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;6;9;-1;-1;4.2.43.3.1;-;E-;6;24;61;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-1;4.2.43.3.2;-;E-;6;30;64;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;3;3;-1;-1;4.2.43.4.1;-;E-;6;36;67;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;4;5;-1;-1;4.2.43.4.2;-;E-;6;42;69;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;2;2;-1;-1;4.2.44.1.1;7;A7;6;0;71;3.0;7.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;6;9;0;0;4.2.44.1.2;7;A7;6;6;78;-1.0;-1.0;0.0;0.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;%;8;-1;-1;4.2.44.2.2;7;A7;6;18;77;-2.0;-4.0;0.0;0.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;4;-1;-2;4.4.44.3.3;7;A7;6;30;73;-2.0;-4.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-2;4.4.44.3.4;7;A7;6;33;69;-1.0;-2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;1.0;7;10;0;0;4.1.44.4.1;7;A7;6;36;67;-3.0;-5.0;1.0;1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;1.0;0.0;1;0;-1;-2;4.4.45.2.3;7;D7;7;18;62;1.0;2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-2;4.4.45.2.4;7;D7;7;21;64;1.0;2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;3;4;-1;-1;4.2.45.3.1;7;D7;7;24;66;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;4;5;-1;-1;4.2.45.3.2;7;D7;7;30;67;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;5;7;-1;-1;4.2.45.4.1;7;D7;7;36;69;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;6;9;-1;-1;4.2.45.4.2;7;D7;7;42;71;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;7;10;-1;-1;4.2.46.1.1;7;D7;7;0;72;-2.0;-3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-1;4.2.46.1.2;7;D7;7;6;69;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;6;9;-1;-1;4.2.46.2.1;7;D7;7;12;71;-1.0;-2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;1.0;5;7;-1;-1;4.2.46.2.2;7;D7;7;18;69;-3.0;-7.0;1.0;1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;1.0;0.0;1;0;-1;-2;4.4.46.4.3;7;D7;8;42;62;1.0;2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-2;4.4.46.4.4;7;D7;8;45;64;1.0;1.0;-1.0;-2.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;7;10;-1;-1;4.2.47.1.1;7;G7;8;0;65;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-1;4.2.47.1.2;7;G7;8;6;67;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;2;2;-1;-1;4.2.47.2.1;7;G7;8;12;69;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;4;-1;-1;4.2.47.2.2;7;G7;8;18;71;3.0;5.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;6;9;-1;-1;4.4.47.3.1;7;G7;8;24;76;-1.0;-1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;%;8;-1;-2;4.4.47.3.3;7;G7;8;30;75;-1.0;-1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-2;4.4.47.3.4;7;G7;8;33;74;-1.0;-1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;T;6;-1;-1;4.2.47.4.1;7;G7;8;36;73;-2.0;-4.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-1;4.2.47.4.2;7;G7;8;42;69;-2.0;-4.0;-1.0;-1.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;7;10;-1;-1;4.2.48.1.1;7;G7;8;0;65;-2.0;-4.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;T;6;-1;-1;4.2.48.1.2;7;G7;8;6;61;4.0;8.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;1.0;2;2;0;0;4.1.48.2.1;7;G7;8;12;69;-1.0;-2.0;2.0;2.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;1.0;0.0;1;0;-1;-2;4.4.49.2.1;-;G-;9;12;67;1.0;2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-2;4.4.49.2.2;-;G-;9;15;69;1.0;1.0;-1.0;-2.0
